id,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,label,elevation,MNDWI,NDBI,NDVI,BSI
1_sample,2710,2100,871,1078,1342,1510,1872,1995,2088,2235,6,0.239685059,-0.430834213,0.129637349,0.217492711,0.155897875
2_sample,2930,2588.5,1037,1514,1889,2088,2565.5,2661.5,2912,2773,6,-29.65774536,-0.318631863,0.003081137,0.213080608,0.099224453
3_sample,2871,2419.5,915.5,1138,1424,1602,1999.5,2125.5,2255,2287,6,-0.865905762,-0.432277376,0.120171674,0.225876597,0.150626214
4_sample,3111.4,2701.625,1438.066667,1830.625,2142.421053,2536.266667,2527.294118,2587.5,2392.470588,2595.047619,6,0.873291016,-0.25915996,0.130622514,0.055139032,0.156674115
5_sample,2152,1725,664,883,1148,1323,1520,1637,1774,1819,6,1.815734863,-0.418121911,0.096281202,0.214236824,0.15022656
6_sample,5733,4156,3108,3960,4724,4888,5030,4997,4980,4687,6,1.613067627,-0.182915506,0.070288435,0.026380874,0.127743327
7_sample,3660,3031.5,1079,1362,1624,1743,2080,2219,2369,2423.5,6,-0.313476563,-0.457586619,0.214131697,0.186576509,0.210261109
8_sample,2690,2055,835,1068,1312,1500,1866,2052,2248,2249,6,0.632263184,-0.43161256,0.089509923,0.262921348,0.129710656
9_sample,2778.5,2180,735.1764706,987.1904762,1318.941176,1570.4375,2089.166667,2291,2343.2,2453,6,0.309509277,-0.475692183,0.084991311,0.279688514,0.142013741
10_sample,1600,1467.5,1176,1425,1553,1501.5,1622.5,1678,1784,1682.5,6,-2.438049316,-0.05785124,-0.054373522,0.069223854,0.03157206
11_sample,1494,1433,1081.5,996,1334.5,1651,1554,1477,1493.5,1381,6,2.261755466,-0.2,0.000167364,0.056223479,0.046914037
12_sample,3134.5,2817.5,431,674,1465,1729,1823.5,1915.5,1901,1952.5,6,10.38347626,-0.646054877,0.244960778,0.1295306,0.32712977
13_sample,3456.5,2753,932.5,1189,1409,1678.5,1996.5,2172,2168,2393,6,0.121704102,-0.48810677,0.22908703,0.212188985,0.221566658
14_sample,3478,2929,1060,1314,1526,1779,2096,2239,2276,2467,6,0.06652832,-0.451585977,0.208898158,0.197264598,0.2
